Id,URL,Title,Original Title,Author,Date,Styles,Series,Genre,Media,Location,Dimensions,Description,Wiki Description,Tags,Img,image_urls
701,https://www.wikiart.org/en/dana-levin/heaven,Heaven,,Dana Levin,,Contemporary Realism,,allegorical painting,,,,,,"Sitting,Kneeling",img/full/7dd7e07443375a97e1514b451330b3c7f95943ce.jpg,https://uploads5.wikiart.org/images/dana-levin/heaven.jpg
702,https://www.wikiart.org/en/jon-mcnaughton/make-america-safe,MAKE AMERICA SAFE,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,"Standing,Fence,Gentleman",img/full/3f7ffcd6ea2399e8fd413b6d1b7c06bd1c7c9185.jpg,https://uploads1.wikiart.org/00224/images/jon-mcnaughton/make-america-safe.jpg!Large.jpg
703,https://www.wikiart.org/en/jon-mcnaughton/awaiting-the-command,AWAITING THE COMMAND,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,Holyplaces,img/full/6c4b5a346e6155014822ae961651df9aa68bcb70.jpg,https://uploads4.wikiart.org/00224/images/jon-mcnaughton/awaiting-the-command.jpg!Large.jpg
704,https://www.wikiart.org/en/jon-mcnaughton/the-demise-of-america,The Demise of America,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,40.64 x 60.96 cm,,,Pcgame,img/full/b4758e72ed23e29d95f94c3c436528ffaa1a7243.jpg,https://uploads7.wikiart.org/00221/images/jon-mcnaughton/the-demise-of-america-1.jpg!Large.jpg
705,https://www.wikiart.org/en/kara-walker/cotton-hoards-in-southern-swamp-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005,"Cotton Hoards in Southern Swamp, from Harper’s Pictorial History of the Civil War (Annotated)",,Kara Walker,2005,Feminist Art,,figurative,,,,,,silhouette,img/full/df26d075cdae23db3b76c6c9b18c6fb55a675e4d.jpg,https://uploads4.wikiart.org/00333/images/kara-walker/cotton-hoards-in-southern-swamp-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005.jpg
706,https://www.wikiart.org/en/jon-mcnaughton/he-loves-me-too,HE LOVES ME TOO,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,"Peopleinnature,Child",img/full/7dfe7c1a54de320691d6ad1dcd89954b72e87559.jpg,https://uploads7.wikiart.org/00224/images/jon-mcnaughton/he-loves-me-too.jpg
707,https://www.wikiart.org/en/jon-mcnaughton/lincolns-prayer,LINCOLN'S PRAYER,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,Gentleman,img/full/86a28ba1a50e9e9b6fffe48e818dcaabb028bfa2.jpg,https://uploads0.wikiart.org/00224/images/jon-mcnaughton/lincoln-s-prayer.jpg!Large.jpg
708,https://www.wikiart.org/en/jon-mcnaughton/respect-america-final-crop-2-15954-1519233667-800-800,Respect the Flag,,Jon Mcnaughton,,"Kitsch,Social Realism",,portrait,,,,,,,img/full/ef375d8ee028e1acc086af877287488dada30c15.jpg,https://uploads1.wikiart.org/00221/images/jon-mcnaughton/respect-america-final-crop-2-15954-1519233667-800-800.jpg!Large.jpg
709,https://www.wikiart.org/en/robert-silvers/girl-with-the-pearl-earring-2008,Girl with the Pearl Earring,,Robert Silvers,2008,Pop Art,,portrait,photomosaic,,,,,female-portraits,img/full/87f1ea7b5d3198d64deff3038d5f1f926f715595.jpg,https://uploads8.wikiart.org/images/robert-silvers/girl-with-the-pearl-earring-2008.jpg
710,https://www.wikiart.org/en/jon-mcnaughton/did-you-think-to-pray,DID YOU THINK TO PRAY,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,Sitting,img/full/d8d5a4cd3670311ffb0f95c5797b0db3c1729415.jpg,https://uploads5.wikiart.org/00224/images/jon-mcnaughton/did-you-think-to-pray.jpg!Large.jpg
711,https://www.wikiart.org/en/jon-mcnaughton/the-good-shepherd,THE GOOD SHEPHERD,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,"Nature,Naturallandscape,Bank,Atmosphericphenomenon,morning,Sky,Evening",img/full/08b29fb5329fb4e5380f5cc2f803794fa50d5f35.jpg,https://uploads1.wikiart.org/00224/images/jon-mcnaughton/the-good-shepherd.jpg!Large.jpg
712,https://www.wikiart.org/en/jon-mcnaughton/ronald-reagan-it-can-be-done,RONALD REAGAN   IT CAN BE DONE,,Jon Mcnaughton,,"Kitsch,Social Realism",,portrait,,,,,,Official,img/full/4698ce1461b148ad6996b2990312f8e92fee34ba.jpg,https://uploads3.wikiart.org/00224/images/jon-mcnaughton/ronald-reagan-it-can-be-done.jpg!Large.jpg
713,https://www.wikiart.org/en/kara-walker/an-unpeopled-land-in-uncharted-waters-2010,An Unpeopled Land In Uncharted Waters,,Kara Walker,2010,Feminist Art,,figurative,,,,,,silhouette,img/full/e8ad78450e4a6b395acd90a4e98f4b8a68d44e2e.jpg,https://uploads6.wikiart.org/00333/images/kara-walker/an-unpeopled-land-in-uncharted-waters-2010.jpg!Large.jpg
714,https://www.wikiart.org/en/jon-mcnaughton/star-of-bethlehem,STAR OF BETHLEHEM,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,,img/full/a4538477b0c2e52e1af36a3fef351a894c78db24.jpg,https://uploads1.wikiart.org/00224/images/jon-mcnaughton/star-of-bethlehem.jpg!Large.jpg
715,https://www.wikiart.org/en/jon-mcnaughton/via-dolorosa,VIA DOLOROSA,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,"Crowd,Event",img/full/fbf5ba8ac662b98728ace26aed420e11cace8764.jpg,https://uploads5.wikiart.org/00224/images/jon-mcnaughton/via-dolorosa.jpg!Large.jpg
716,https://www.wikiart.org/en/jon-mcnaughton/the-second-coming,THE SECOND COMING,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,Horse,img/full/7c0dc516fc82729b5cc9871bb26f96f441a56c64.jpg,https://uploads1.wikiart.org/00224/images/jon-mcnaughton/the-second-coming.jpg!Large.jpg
717,https://www.wikiart.org/en/michael-bell/the-transfer-2009,The Transfer,,Michael Bell,,"Neo-Figurative Art,New Realism",,allegorical painting,"oil,mixed technique,canvas",,152 x 152 cm,"In ""Ticket to Ride"" Michael Bell created a cinematic painting series as a journey through one woman’s harrowing search for redemption, only nothing inspires redemption quite like revenge.
 ""The Transfer"" is the first of nine large-format mixed-media paintings that range from emotionally-driven portraits as allegories reminiscent of dramatic film-stills to dark, ambiguous hotel room scenes and metropolitan landscapes on 60"" X 60"" canvases overlaid with mixed-media subway maps painted into the background of each work. Bell’s narrative strategy is for the viewer to question how much of Ticket to Ride is just a dream, and how much is rooted in reality. Its major movement is the journey taken by an Italian Femme Fetale that begins on a New York City subway platform in Scene 1, ""The Transfer"" as she awaits her metaphorical “train” and her journey continues -- painting by painting -- like a roller coaster ride through her mind.","<p itemprop=""description"">In ""Ticket to Ride"" Michael Bell created a cinematic painting series as a journey through one woman’s harrowing search for redemption, only nothing inspires redemption quite like revenge.
<br>
<br>""The Transfer"" is the first of nine large-format mixed-media paintings that range from emotionally-driven portraits as allegories reminiscent of dramatic film-stills to dark, ambiguous hotel room scenes and metropolitan landscapes on 60"" X 60"" canvases overlaid with mixed-media subway maps painted into the background of each work. Bell’s narrative strategy is for the viewer to question how much of Ticket to Ride is just a dream, and how much is rooted in reality. Its major movement is the journey taken by an Italian Femme Fetale that begins on a New York City subway platform in Scene 1, ""The Transfer"" as she awaits her metaphorical “train” and her journey continues -- painting by painting -- like a roller coaster ride through her mind.</p>","Lady,Pictureframe",img/full/bc9b9a5dd9300c9b04528aebc7a54b1d05e5f893.jpg,https://uploads0.wikiart.org/images/michael-bell/the-transfer-2009.jpg
718,https://www.wikiart.org/en/jon-mcnaughton/stand-your-ground,STAND YOUR GROUND,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,"Militaryofficer,Flag,Soldier,Militaryperson",img/full/66ddac4d5301ab598ad0b08fcd679d5443b0166a.jpg,https://uploads1.wikiart.org/00224/images/jon-mcnaughton/stand-your-ground.jpg!Large.jpg
719,https://www.wikiart.org/en/wade-guyton/untitled-2008-1,Untitled,,Wade Guyton,2008,"Conceptual Art,Minimalism",,,,,,,,"Shelf,Line,Room,Shelving,Furniture",img/full/6c663cc4eff391297838b462170d2b0d23131c56.jpg,https://uploads6.wikiart.org/images/wade-guyton/untitled-2008-1.jpg
